"YYYY","MM","DD","TIME","STAMP","Nhiệt độ","Độ mặn","PH","NH3","H2S","TSS","DO","COD","Ghi chú",,
"2019","01","01","00:00","01/01/2019 00:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","01","06:00","01/01/2019 06:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","01","09:00","01/01/2019 09:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","01","12:00","01/01/2019 12:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","01","15:00","01/01/2019 15:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","01","18:00","01/01/2019 18:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","02","00:00","02/01/2019 00:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","02","06:00","02/01/2019 06:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","02","09:00","02/01/2019 09:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","02","12:00","02/01/2019 12:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","02","15:00","02/01/2019 15:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","02","18:00","02/01/2019 18:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","03","00:00","03/01/2019 00:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","03","06:00","03/01/2019 06:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","03","09:00","03/01/2019 09:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","03","12:00","03/01/2019 12:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","03","15:00","03/01/2019 15:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","03","18:00","03/01/2019 18:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","04","00:00","04/01/2019 00:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","04","06:00","04/01/2019 06:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","04","09:00","04/01/2019 09:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","04","12:00","04/01/2019 12:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","04","15:00","04/01/2019 15:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","04","18:00","04/01/2019 18:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","05","00:00","05/01/2019 00:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","05","06:00","05/01/2019 06:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","05","09:00","05/01/2019 09:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","05","12:00","05/01/2019 12:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","05","15:00","05/01/2019 15:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","05","18:00","05/01/2019 18:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","06","00:00","06/01/2019 00:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","06","06:00","06/01/2019 06:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","06","09:00","06/01/2019 09:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","06","12:00","06/01/2019 12:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","06","15:00","06/01/2019 15:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","06","18:00","06/01/2019 18:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","07","00:00","07/01/2019 00:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","07","06:00","07/01/2019 06:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","07","09:00","07/01/2019 09:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","07","12:00","07/01/2019 12:00",,,,,,,,,"AVE",,"ADDING LATER"
"2019","01","07","15:00","07/01/2019 15:00",,,,,,,,,"AVE",,"ADDING LATER"
